alphabet,word,definition,alternative_word,alternative_definition,
A,a pi? nudo,,,,
A,a pi? potere,with all might and maine,,,
A,a pi? sciutto,,,,
A,a pi? smontare,,,,
A,a pi? tempo,with more time and leasure,,,
A,a piacere,at pleasure. Also pleasure,,,
A,a piacimento,at will and pleasure,,,
A,a pian passo,with a slow pace,,,
A,a pian piano,very slowly and softly,,,
A,a piana vite,a kind of vine,,,
A,a piaria,a place where bees are kept. Also the trade of keeping bees and making of hony,,,
A,a piastra armato,armed at all assaies,,,
A,a picco,adv. hewen or pect as milstones are with hammers,,,
A,a piede asciutto,dry footed,,,
A,a piedi d'oca,as the foot of a goose,,,
A,a pien popolo,in view of all men,,,
A,a piene vele,with full spred sailes,,,
A,a pieno,"at full, fully, throughly",,,
A,a pieno arbitrio,at full free will,,,
A,a pigione,"at rent, in farine, to hire",,,
A,a piombino,"leuell, by line and measure",,,
A,a piombo,"downe right, perpendicular",,,
A,a pir amidi,Pily in armory,,,
A,a placito,at will and pleasure,,,
A,a poco,"by little, within a little",,,
A,a poco a poco,by little and little,,,
A,a posta,"for the nonce, expresly",,,
A,a posta fatta,of set purpose or apointment,,,
A,a posticcio,"counterfait, made by Art",,,
A,a pretio,"at a price, at a rate",,,
A,a prezzo,"at a price, or for hire",,,
A,a prieghi,at the earnest sute or request,,,
A,a prima,at first. Also at primero,,,
A,a prima giunta,at the first comming,,,
A,a pruoua,"for the nonce, expresly. Also vpon proofe or triall. Also in striuing or contending manner. Also to the vtmost of ones power",,,
A,a puntamento,an appointment,,,
A,a quadretti,losengie in armorie,,,
A,a qualungue modo,howsoeuer,,,
A,a quando,"against when, sometimes",,,
A,a quando a quando,"now and then, sometimes",,,
A,a quarti,"quarterly in armorie,",,,
A,a quartieri,quartered as armes be,,,
A,a quattr'occhi,"face to face, boldly",,,
A,a quattro,by foure and foure,,,
A,a quello,"by that, as farre as",,,
A,a quello ch??_,,,,
A,a questa volta,"at this time. Also this way, or toward this way",,,
A,a questi di,in these daies,,,
A,a questo,"by this, as farre as",,,
A,a quinci,"hence, or hence-from",,,
A,a quinci quindi,hence and thence,,,
A,a quindi,"thence, or thence from",,,
A,a quindi quinci,thence and hence,,,
A,a quiui,there or thither,,,
A,a quiui intorno,there abouts,,,
A,a racolta,"by gathering or collection as haruest is gathered in, looke",,,
A,a rag,i?_,"ne,","reasonably, good cause why, with reason, iustly, lawfully. Also according to right, tale, waight or measure",
A,a ragatta,"striuingly, as at musse",,,
A,a randa,"hardly, with much adoe",,,
A,a randa a randa,"aneust, close vnto",,,
A,a randello,looke,Randello.,,
A,a raso,plaine as it were shauen,,,
A,a rastello,with labels in armory,,,
A,a rata,"ratably, shauingly",,,
A,a rata portione,by equall portion,,,
A,a rbitrato,arbitrated. Also a c??promise,,,
A,a reguisitione,at the request or intreaty,,,
A,a retaglio,"by retale, as hucsters sell",,,
A,a ricambio,by or vpon double exchange,,,
A,a richiesta,at the sute or request,,,
A,a ricolta.,Looke,,,
A,a ricordo d'huomo,in mans memorie,,,
A,a ridosso,looke,,,
A,a riguardo,in regard. Also in view,,,
A,a rilento,"slackly, slowly, relentingly",,,
A,a ritaglio,"by retaile, as hucksters sell",,,
A,a riua'l mare,by the sea-shore,,,
A,a rombo,masiled or lozengie in armorie,,,
A,a romore,in an vprore or hurly burly,,,
A,a ronfa,a play at trump or ruff,,,
A,a rotolone,rouling or rumbling,,,
A,a ruba,"by stealth, filchingly",,,
A,a ruba andare,to goe a stealing,,,
A,a ruota,wheelingly,,,
A,a salto a salto,"leape by leape, a skiping",,,
A,a saluamento,"safely, in safty",,,
A,a saluo,"safely, in safety",,,
A,a saluumme fac,"safely, without danger",,,
A,a satier??_,,,,
A,a sbaraglio,in confusion or Lauoke,,,
A,a scacchi,checquy in armory. Also at chesse,,,
A,a scacchi acuti,maskled or lozengy,,,
A,a scatafascio,"at randon, hand ouer head",,,
A,a scauezzacollo,headlong furiously,,,
A,a scherno,in scorne or contempt,,,
A,a scherzo,"in ieast, ieastingly",,,
A,a schiere,in troupes or squadrons,,,
A,a schifo,"loathsome, in abhomination",,,
A,a schimbicci,in crooked manner,,,
A,a scielta sua,at his owne choise,,,
A,a scoperto,openly discoueredly,,,
A,a scoppia corpo,houldbelly-hould,,,
A,a scoppia cuore,,,,
A,a scorno,"in scorne, in derision",,,
A,a scorno prendere,to take in scorne,,,
A,a scosse,in shaking or faltering manner,,,
A,a scotto,"scotfree, at others charges",,,
A,a sctocco,scot-free in shifting sort,,,
A,a sdegno,"in disdaine, in contempt",,,
A,a secco,dry. Looke,,,
A,a seconda,with winde and tide,,,
A,a senno,"wittingly, purposely",,,
A,a sera,late in the euening,,,
A,a sesta,"iustly, according to compasse",,,
A,a sesto.,idem,,,
A,a sicurt??_,,,,
A,a simile,"likewise, like vnto. Also from the like",,,
A,a similitudine,"in resemblance, as",,,
A,a sinistra,on the left hand a thwart,,,
A,a sofficienza,"inough, sufficiently",,,
A,a solazzo,"a sporting, a solacing",,,
A,a solco,"by furrowes, chamfurred",,,
A,a soldo,in pay or for hire,,,
A,a solo a solo,"alone, all alone",,,
A,a sommo studio,on set purpose,,,
A,a sommossa,at the instigation,,,
A,a sonaglio,a game that children vse,,,
A,a sorte,"by chance, by lot",,,
A,a spada tratta,to swords drawing,,,
A,a spalle,behinde ones shoulders,,,
A,a spasso,"to walke, to solace, to sport",,,
A,a spezzacollo,in breake necke manner,,,
A,a spicchio,"made pointed-wise, like the streakes of the Sunne or the cloues of Garlyke",,,
A,a spine,engrailed in armorie,,,
A,a spron battuti,in great spurring haste,,,
A,a sproni d'oro,of or with golden spurr's,,,
A,a sproposito,against purpose or reason,,,
A,a squadra,"by troupes or squadrons. Also leuell, by rule or squire",,,
A,a squarzo,in hauock or rending maner,,,
A,a ssessinamento,a murthering,,,
A,a staffeta,in post haste or running,,,
A,a stento,"piningly, languishingly",,,
A,a stoccata,with a thrust or stoccado,,,
A,a strahora,out of season or due time,,,
A,a strapi??_,,,,
A,a stratio,"tearingly, tormentingly",,,
A,a strattezza,an abstraclnesse. Also a strange far fetcht conceit or deuice,,,
A,a strico,a pauement,,,
A,a stro,"a star, a planet. Also a celestiall signe compact of many stars",,,
A,a strozzare,,,,
A,a studio,"for the nonce, expresly",,,
A,a su danno,at his perill and danger,,,
A,a sua posta,at his pleasire or perill,,,
A,a sua scelta,at his choice,,,
A,a suo malgrado,maugre him,,,
A,a suolo a suol,o; ranged or piled in order,,,
A,a suon di tromba,by the sound of trvmpet,,,
A,a tal foggia,in such fcshion,,,
A,a tal partito,at such a passe or state,,,
A,a talhora,at such or sometimes,,,
A,a tanato,the hearbe Rosecampion,,,
A,a tanto il di,at so much a day,,,
A,a tempo,"in time, timely. Also for time",,,
A,a tentone,grop<*>ing on all foure in the darke,,,
A,a termine,for tearme of time,,,
A,a terra,"on land, on the grovnd",,,
A,a theismo,"atheisme, misoreancy",,,
A,a toppo,"to play at gresco or hazzard, and then to set at euery chance or cast, or to set and cast at the by",,,
A,a troce,"fierce, fell, cruell, seuere",,,
A,a tua posta,at thy perill or pleasure,,,
A,a tutt' hore,euer at all houres,,,
A,a tutta briglia,"in full speed, vnbridledly",,,
A,a tutta oltranza,with might and maine,,,
A,a tutta passata,all the way long,,,
A,a tutta posta,at all assaies. Also to cast or play at all that is set,,,
A,a tutta pruoua,with might and maine,,,
A,a tutta voce,as loude as may be,,,
A,a tutte vele,with full spread sailes,,,
A,a tuttiimodi,"howsoeuer, by all meanes",,,
A,a tuttipatti,by all meanes,,,
A,a tutto corso,"a maine-gallop, without post, or let",,,
A,a tutto pasto,all the mcale through,,,
A,a tutto transito,with might and maine,,,
A,a uiso a viso,"face to face, ouer against",,,
A,a uiso aperto,with an open face,,,
A,a uiso essere,to be of opinion or aduise,,,
A,a uiso inanzi,"vndantedly, boldly",,,
A,a uista,"in sight, in view, before",,,
A,a uiua forza,by maine force,,,
A,a un colpo,"at one stroke, at once",,,
A,a un gran pezzo,by a great while,,,
A,a un parto,at one bearing or birth,,,
A,a un portato,as,,,
A,a un punto,"at once, at one point",,,
A,a un sorso,at one draught,,,
A,a un tempo,at one time,,,
A,a un tratto,"at one cast, at once",,,
A,a un volger d'occhi,in the twinkling of an eie,,,
A,a uno a uno,one by one,,,
A,a uoce alta,"loudly, with a high voice",,,
A,a uolo,"flying, by flight, speedily",,,
A,a uolterio,adultery,,,
A,a uscio a uscio,"to enure, to vse, to accustome",,,
A,a uso,after the vse or wont,,,
A,a uspice,"a deuiner, a soothsaier. Also a luckie guide or director. Also be that giues a woman to the Priest to be maried",,,
A,a valle,"below, beneath. Also vnder",,,
A,a vele piene,with full spread sailes,,,
A,a vettura,"at liuerie, looke",,,
A,a voglia,at will and pleasure,,,
A,a volte,"at times, sometimes, by turnes",,,
A,a'ltr?,"other, also, ought else, or any other thing. Also except",,,
A,ab,"a preposition or sign of the Datiue case, to, vnto, at, at the, to the",per.,,
A,abacare,,,,
A,abacchetta,with a wand or commanding staffe of auctoritie,,,
A,abacchiere,a caster of accounts,,,
A,abachista,,,,
A,abacinamento,as,,,
A,abacinare,,,,
A,abaco,as,,,
A,abaculi,"counting rundles, or counters",,,
A,abada,,,,
A,abadare,,,,
A,abadessa,an Abbesse,,,
A,abadia,an abbie,,,
A,abadiale,abbot-like,,,
A,abaiamenti,,,,
A,abaiare,,,,
A,abalroare,,,,
A,abampare,,,,
A,abamposo,as,,,
A,abandonare,,,,
A,abandono,as,,,
A,abanello,"a puttocke, or buzard. Also a kind of delicate small wine in Italie",,,
A,abantiquo,"of old, of yore, in ancient time, from antiquity",,,
A,abardosso,"bare-backt, without a saddle",,,
A,abaruffare,"to ruffle together, to bicker",,,
A,abascioso,as,,,
A,abasso,"below, beneath",,,
A,abastanza,"enough, sufficiently",,,
A,abastare,"to suffice, to be enough",,,
A,abate,an abbot,,,
A,abatessa,an abbesse,,,
A,abatia,an abbie,,,
A,abattuta,"orderlie, in proportion, as musitians keepe time",,,
A,abauare,"to slauer, to driuell",,,
A,abba,"a Syrian word, father, or dad",,,
A,abbabare,"to astonish, to amaze, also to l<*>iter about idely",,,
A,abbacare,"to number or cast account, also to prie into or seeke out with diligence",,,
A,abbachiere,an arithmetician or caster of accounts,,,
A,abbachista,,,,
A,abbacinamento,"a blinding, a dazeling, a glimmering, a blearing",,,
A,abbacinanza,,,,
A,abbacinare,"to blinde, to dazle, to glimmer, to glimpse, to bleare, to dim",,,
A,abbaco,"arithmeticke. Also a deske, a cabinet, or a casket. Also a court-cupboord, or counting table. Also a chesseboord, a paire of playing-tables, also a quadrant, or base, or square of a pillar below, which may serue to sit vpon. Also a m<*>rchants booke of accounts, a shop-booke, or counter",,,
A,abbada,"at a bay, at a stay, in delay, in hope, aloofe of; leasurely, with expectation",,,
A,abbadare,"to keepe at a bay or stay, or delay; also to delay, to demurre, to prolong, to hold or put off; also to attend or wait on",,,
A,abbadessa,"an abbesse, or Ladie of an abbie",,,
A,abbadia,an abbie,,,
A,abbagliaggine,,,,
A,abbagliamento,idem,,,
A,abbagliare,,,,
A,abbai,"barkings, houlings, or bayings of a dog. Also malitious railings, idle pratings, vaine brags, detractions, skoldings",,,
A,abbaia,,,,
A,abbaiamenti,,,,
A,abbaiare,"to barke, to boule, to bay or quest as a dog, also by metapher to prate or speake, or brag idely, also to raile or detract, to skold at",,,
A,abbaiatore,"a barker, a houler, a baier, or quester as a dog; also apratler, a boaster, a railer, a detractor, an idle speaker, a skolder",,,
A,abbalordimento,as,,,
A,abbalordire,as,,,
A,abbambagiare,"to bumbast, also to stuffe or quilt with bumbasin or such like",,,
A,abbampare,"to flame, to flash, to blaze",,,
A,abbamposo,"flamie, blazing, flashie",,,
A,abbandonare,"to abandon, to sorsake, to leaue, to refuse, to cast off",,,
A,abbandonatissimo,"vtterly abandoned, most forsaken, wholly for lorne",,,
A,abbandono,"abandoning, refusall, leauing off, forsaking. Also at randon, in for saken or vnregarded manner",,,
A,abbarbagliamento,as,,,
A,abbarbagliare,,,,
A,abbarbaglio,as,,,
A,abbarbicare,"to take root, to clinch or twine about",,,
A,abbardare,"to bard, to trap, or caparison a herse",,,
A,abbare,,,,
A,abbarrare,"to barre, to embarre, to baricado",,,
A,abbaruffamento,"a bickering, or falling to blowes. Also a towzing or ruffling. Also a singing, a scorching or smoking with fire",,,
A,abbaruffare,"to cause or breed a quarrell, to set together by the eares; also to touze or rufflle; also to singe, to scorche or smoke with fire",,,
A,abbassamento,"an abasing, a depressing, a bringing low, an humbling",,,
A,abbassare,"to abase, to depresse, to suppresse, to bring low, to stoope, to decline, to bend downe, to descend, to humble, to submit, to prostrate, to alay",,,
A,abbasseuole,"that may be abased, or brought low",,,
A,abbastardimento,"abastardizing, an adulterating, a degenerating",,,
A,abbastardire,"to bastardize, to degenerate, to adulterate",,,
A,abbastionare,"to embastion, to entrench, to ensk?_nce, to emblocke",,,
A,abbastioneuole,"that may be entrenched, enskonced, or emblocked",,,
A,abbate,an abbot,,,
A,abbateggiare,to play the abbot or lazie Churchman,,,
A,abbatiale,"abbot-like, or belonging to an abbie",,,
A,abbattere,"to abate, to beat, throw, or cast downe, to depresse, to suppresse, to ouerthrow; also to meet, to light, to fall, to come, or happen on, with, or vpon by chance, and casually",,,
A,abbattersi con qualcuno,to meet with some body by chance,,,
A,abbattimento,"an abatement, an encounter, an assault, a fight, a combat, an ouerthrow, a depressing; also a meeting with, or lighting vpon by chance, also a chance, a hap or casualty",,,
A,abbattitore,"an encounter, a combatant, an abater, an ouerthrower",,,
A,abbatutamente,"met by chance, or casually, also ouerthrowingly",,,
A,abbat_ssa,an abbesle,,,
A,abbauare,to slauer or driuell,,,
A,abbegliamenti,,,,
A,abbegliare,,,,
A,abbellare,"also to sooth vp, or please ones mind",,,
A,abbellimento,"an embellishment, a beautifying. Also painting that women vse",,,
A,abbeluardare,"to embulwarke, to fortifie, to enskonce",,,
A,abbendare,,,,Bend?re
A,abbentare,"to rest, to be quiet, to be glad, to rei<*>ice, to enioy",,,
A,abberfare,"to besprinkle, to spirt",,,
A,abberfatione,"a be sprinkling, an asperging, a spirting",,,
A,abbergare,,,,
A,abbergo,as,Albergo.,,
A,abbersagliare,,,,
A,abbestiare,"to embeast, or become beast",,,
A,abbeuerare,to water cattell,,,
A,abbeueratoio,"a watring place, or trough for cattell",,,
A,abbiadato,"prouendred, fed with oats",,,
A,abbianchire,"to whiten, to blanch",,,
A,abbicare,to heape together as haycocks,,,
A,abbiccare,,,,
A,abbici,an,"a, b, c,","booke for children to learne, an alphabet",
A,abbiendo,hauing,,,
A,abbientare,"to enable, to make capable or fit for",,,
A,abbiente,"able, capable",,,
A,abbiettare,"to abiect, to reiect",,,
A,abbiettione,"abiection, vilitie, basenesse of courage",,,
A,abbietto,"abiect, base, vile",,,
A,abbigiare,to make or become gray,,,
A,abbigliamenti,"raiments, attires, apparrells, clothings, ornaments, embellishments",,,
A,abbigliare,"to array, to attire, to apparrell, to cloth, to adorne, to embellish, to make red",,,
A,abbiosciaggine,"deiection, cowardise, faint-heartednesse",,,
A,abbiosciare,"to deiect, to make or become faint hearted",,,
A,abbiosciato,"deiected, made or become faint hearted",,,
A,abbisognare,"to need, or be needfull",,,
A,abbisognato,"needed, brought or made needy",,,
A,abbisogno,need or necessity,,,
A,abbisognoso,"needy, full of want",,,
A,abbissare,"to engulphe, to sinke or throw downe as into hell, or deepe and bottomlesse pit",,,
A,abbisso,"an abisse, a hell, a gulphe, a bottomlesse pit, a deepe, an infinit gathering of water",,,
A,abbitumare,"to bepitch, to ciment, or clam together",,,
A,abboccamento,"a parly, an enteruiew, a meeting face to face, or mouth to mouth, a speaking face to face. Also an en-mouthing",,,
A,abboccare,"to parly or speake together, to come mouth to mouth, or face to face. Also to enmouth, or put to the mouth",,,
A,abboccatoio,the mouth of a limbecke or furnace,,,
A,abboccatore,"a broker, a daies-man, one that brings men to speake together",,,
A,abbocconare,"to morsell, to mince, or shred in peeces",,,
A,abbollire,"to abolish, to abrogate, to disa, to cancell",,,
A,abbollitione,"an abolishing, an abrogation, a cancelling, a disaing",,,
A,abbominando,"abhominable, loathsome, detestable",,,
A,abbominanza,"abhomination, detestation, loathsomnesse",,,
A,abbominatione,,,,
A,abbomineuole,,,,
A,abbominio,as,,,
A,abbominoso,as,,,
A,abbommare,"to abbor, to haue in abhomination, to loath, to detest",,,
A,abbonacciare,"to calme, to appease, to asswage, to quiet",,,
A,abbonamento,"a making good, a ripening. Also an asswaging, a calming",,,
A,abbonare,"idem; also to make good, or seasonable. Also to ripen",,,
A,abboneuole,"that may be made good, or that may be calmed",,,
A,abbonimento,as,,,
A,abbonire,as,Abbonare.,,
A,abbordare,to goe neere the shore. Also to bond or grapple with a ship,,,
A,abbordo,a boording or grapling of ships,,,
A,abborracciamento,"a stuffing, or quilting, a botching or clouting, a bungling of any thing, a hudling vp. Also a mumbling or thicke speaking. Also a being drunke",,,
A,abborracciare,also to make or become drunke,,,
A,abborramento,as,,,
A,abborrare,"to stuffe or quilt, to botch, or bungle, to huddle vp; also to mumble in speech, or speake faltringly",,,
A,abbortare,"to be deliuered aborliuely, to cast vntimely, to be borne out of time",,,
A,abbortione,an abort or vntimelie birth,,,
A,abbortire,as,,,
A,abbortiuo,"abortiue, vnse asonable monstrous, vntimely borne, out of time",,,
A,abborto,idem,,,
A,abbottare,to swell or become toad-like. Also to puffe vp with spite or pride,,,
A,abbottinamento,"a mutiny, an vprore, a disordering; also a boot-haling, or booty",,,
A,abbottinare,"to mutiny, to praie, to rob, to spoile, to seduce, to goe a freehooting",,,
A,abbottinatore,a mutinous or seditious man,,,
A,abbozzamento,"a first, rough, or imperfect draught; also a swelling to a bile or botch",,,
A,abbozzare,"to rough-hew or cast any first draught, to bungle vp ill'fauouredly. Also to swell as a byle or botch",,,
A,abbozzatore,"a rough, vnskilfull caster or drawer of any thing",,,
A,abbozzatura,,,,
A,abbozzo,as,,,
A,abbracciamenti,"embracements, claspings, collings, huggings",,,
A,abbracciare,"to embrace, to claspe, to coll, to hug",,,
A,abbracciatoie,"a kind of tongs, mullets, or pincers, that gold smiths vse",,,
A,abbraccii,,,,
A,abbraciata,"an embracing, an armefull",,,
A,abbragiare,"to set on fire, to glow, to burne to embers, to enkindle",,,
A,abbreuiamento,an abbreuiating,,,
A,abbreuiare,"to abreuiate, to shorten, to abridge",,,
A,abbreuiatione,an abreuiation,,,
A,abbreuiatura,,,,
A,abbrigliamento,"a brideling, a curbing, a suaffling",,,
A,abbrigliare,"to bridle, to curbe, to snaffle",,,
A,abbrigliatura,,,,
A,abbriuidare,to benum or stiffen with cold,,,
A,abbronzacchiare,"to sunne-burne, to tanne, to skorche, to singe, to skald, to parch, to blast; also to haue the meat sticke to the pot, for want of liquer",,,
A,abbronzacchiato,"sunne-burnt, tanned, skorched, singed, skalded, parched",,,
A,abbronzare,,,,
A,abbrugiare,to burne,,,
A,abbrunire,"to burnish, to make or become browne, duskie, or darke",,,
A,abbruscare,to ensowre; also to frowne or skoule; also to skorche or singe,,,
A,abbrusciare,"to burne, as",,,
A,abbrustare,,,,
A,abbrustire,as,,,
A,abbrustolare,"to burne, to singe, to tost, to skorche, to blast, to seare, to parche",,,
A,abbrutare,to make or become brutish,,,
A,abbruttare,"to foule, to defile, to pollute",,,
A,abbuiare,"to darken, to obscure, to duskie",,,
A,abbuire,as,,,
A,abbuonire,as,,,
A,abburattamento,a boulting,,,
A,abburattare,to bolt meale,,,
A,abburattoio,a bolter,,,
A,abdicare,to forsake or renounce,,,
A,abdicatione,a renouncing or forsaking,,,
A,abdomen,"the outward part of the belly betweene the nauell and priuie members, and couereth all the entrailes. Also the fat or sewet of a sow that is found between the flanke, and body",,,
A,abduto,"led, remooued or caried away. Also lawlesse, or exempt from lawes",,,
A,abec??_,,,,
A,abecedare,to alphabet or abee-cee,,,
A,abecedario,a teacher or learner of,"A, B, C.","Also a horne-booke, or A-beecee-booke",
A,abedare,,,,
A,abedario,as,,,
A,abel studio,as,,,
A,abell'agio,"at faire leasure, leasurely",,,
A,abella posta,"for the verie nonce, purposely, wittinglie, expreslie",,,
A,abelline,"a kind of fill-birds, or smallnuts",,,
A,abench??_,,,,
A,abendelle,with bendlets in armory,,,
A,abentare,,,,
A,abento,vsed for,,,
A,aberrare,to stray or wander vp and downe,,,
A,abertolotto,"scotfree, without paiment, fidlers fare, meat, drinke and mony",,,
A,abesperto,"by experience, by proofe",,,
A,abestone,a kind of blackish stone,,,
A,abete,the tree or wood called Firre,,,
A,abeterno,"of yore, from all eternitie",,,
A,abeto,idem,,,
A,abgiurare,"to abiure, to forsweare",,,
A,abgiuratione,"an abiuring, or forswearing",,,
A,abhorreuole,"loathsome, to be abhorred",,,
A,abhorrimento,"abhorring, loathsomnesse",,,
A,abhorrire,"to abhorre, to loath",,,
A,abiccare,,,,
A,abiettamente,"abiectly, basely, contemptibly, scornfully",,,
A,abiettare,"to abiect, to dispise, to scorne, to outcast, to contemne",,,
A,abiettione,"abiection, bascnesse, scorne, contempt",,,
A,abietto,"abiect, base, vile, out cast, scorned",,,
A,abiga,"Iuie, or ground frankinsense",,,
A,abigare,"to twine or bind about, as Iuie",,,
A,abile,"able, sufficient",,,
A,abileo,"a kind of fine, soft, and best spunge",,,
A,abilit??_,,,,
A,abilitare,to enable,,,
A,abinitio,from the beginning,,,
A,abisdoslo,"bare-backt, looke",,,
A,abissare,,,,
A,abisso,as,,,
A,abisto,a stone which being once heated keepes his heat eight daies,,,
A,abitabile,cnhabitable,,,
A,abitacolo,"an habitation, a dwelling",,,
A,abitante,"a dweller, an enhabitant",,,
A,abitanza,"a dwelling, an inhabitation",,,
A,abitare,"to dwell, to inhabit, to win",,,
A,abitatione,"a dwelling, an habitation",,,
A,abitatiuo,"inhabiting, dwelling",,,
A,abitello,any kind of little weede or habit,,,
A,abito,as,,,
A,abitudine,,,,
A,abituro,as,,,
A,ablatiuo,the Ablatiue case of taking away,,,
A,ablato,"caried away by force, or violently",,,
A,abnegare,"to deny, to abiure",,,
A,abnegatione,"a denying, an abiuring",,,
A,abocca,"by word of mouth, by mouth",,,
A,abocca baciata,"as casie as to kisse my mouth, that is to say with thanks",,,
A,abocca piena,with full mouth,,,
A,abocco,a kind of waight or coine,,,
A,abolatiuo,looke,verme.,,
A,abolla,"a Senators habite, a furred garment vsed anciently by Kings and Philosophers",,,
A,abollire,,,,
A,abollitione,,,,
A,abomba,"is properly the place, where children playing hide themselues, as at a play called king by your leaue. Some call it",Gi?_stra prigioni??ra:,"it is also prouerbially vsed of them that in hard enterprises keepe their wits about them. It is also a mans home or dwelling. Also as we vse to say. Home againe home againe, market is done. Also soked or laid in steepe",
A,abombare,"to steepe or lay in soke, looke",Abomba.,,
A,abominando,as,,,
A,abominanza,,,,
A,abominare,,,,
A,abominatione,,,,
A,abomineuole,,,,
A,abominio,as,,,
A,abominoso,as,,,
A,abonamento,as,,,
A,abonare,,,,
A,abondante,"abundant, plenteous",,,
A,abondantemente,"abundantly, plenteously",,,
A,abondanza,"abundance, plenty, store",,,
A,abondanziere,"one that hath the charge to looke to the store of victualls in a citty or campe, and to prouide plenty of prouision, a victualer",,,
A,abondare,"to abound, to haue plenty",,,
A,abondeuole,"abundant, plentifull",,,
A,abondoso,"abundant, plenteous",,,
A,aboneuole,that may be made good,,,
A,abordare,,,,
A,abordo,as,,,
A,aborrare,to stuffe or guilt. Also to abhorre,,,
A,abortare,,,,
A,abortione,,,,
A,abortire,,,,
A,abortiuo,as,Abbortiuo.,,
A,abosimare,,,,
A,abotare,to vowe or promise vnto,,,
A,abotta,"made like the back of a toad, as some breast plates be",,,
